User:
anma2640
Hostname:
bnode0304
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                28
On-line CPU(s) list:   0-27
Thread(s) per core:    1
Core(s) per socket:    14
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 79
Model name:            Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
Stepping:              1
CPU MHz:               2899.968
Computation started at:
Fri Dec 24 08:33:19 MST 2021
git commit: 159ecb412ce6fbd924c19fe68b4b032c9ab3a96f, branch: dqmc, compiled at: Fri Dec 10 18:21:03 MST 2021

nproc used: 56 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "18"
    },
    "wavefunction": {
        "right": "uhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "100"
    },
    "sampling": {
        "seed": "703964",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "1000"
    }
}

Number of orbitals:  76, nalpha:  13, nbeta:  8
Rankwise number of excitations  1 14 76  9  0  0  0  0  0  0
Number of determinants 100

Initial state energy:  (-119.32126,-0)
Number of Cholesky vectors: 479
Using truncated Cholesky with 287 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-119.3193,-0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
   116     2.900e+01       -1.19725e+02     1.39129e+03      -1.198581124e+02        -1.198516211e+02        1.20e+03 
   117     2.925e+01       -1.19683e+02     1.38837e+03      -1.198474626e+02        -1.198515679e+02        1.21e+03 
   118     2.950e+01       -1.19690e+02     1.38887e+03      -1.198562557e+02        -1.198516271e+02        1.22e+03 
   119     2.975e+01       -1.19691e+02     1.38885e+03      -1.198500474e+02        -1.198516074e+02        1.23e+03 
   120     3.000e+01       -1.19706e+02     1.38993e+03      -1.198594327e+02        -1.198517039e+02        1.24e+03 
   121     3.025e+01       -1.19725e+02     1.39120e+03      -1.198467930e+02        -1.198516441e+02        1.25e+03 
   122     3.050e+01       -1.19731e+02     1.39161e+03      -1.198431629e+02        -1.198515419e+02        1.26e+03 
   123     3.075e+01       -1.19713e+02     1.39046e+03      -1.198620406e+02        -1.198516668e+02        1.27e+03 
   124     3.100e+01       -1.19728e+02     1.39142e+03      -1.198481456e+02        -1.198516253e+02        1.28e+03 
   125     3.125e+01       -1.19729e+02     1.39146e+03      -1.198272629e+02        -1.198513420e+02        1.29e+03 
   126     3.150e+01       -1.19671e+02     1.38760e+03      -1.198326017e+02        -1.198511272e+02        1.30e+03 
   127     3.175e+01       -1.19701e+02     1.38978e+03      -1.198359578e+02        -1.198509550e+02        1.31e+03 
   128     3.200e+01       -1.19693e+02     1.38931e+03      -1.198453598e+02        -1.198508922e+02        1.32e+03 
   129     3.225e+01       -1.19701e+02     1.38988e+03      -1.198452269e+02        -1.198508293e+02        1.33e+03 
   130     3.250e+01       -1.19717e+02     1.39101e+03      -1.198392482e+02        -1.198507021e+02        1.34e+03 
   131     3.275e+01       -1.19722e+02     1.39139e+03      -1.198518738e+02        -1.198507148e+02        1.35e+03 
   132     3.300e+01       -1.19704e+02     1.39013e+03      -1.198547019e+02        -1.198507577e+02        1.36e+03 
   133     3.325e+01       -1.19739e+02     1.39250e+03      -1.198568049e+02        -1.198508220e+02        1.37e+03 
   134     3.350e+01       -1.19699e+02     1.38964e+03      -1.198500459e+02        -1.198508139e+02        1.38e+03 
   135     3.375e+01       -1.19723e+02     1.39131e+03      -1.198393475e+02        -1.198506944e+02        1.39e+03 
   136     3.400e+01       -1.19703e+02     1.38998e+03      -1.198474490e+02        -1.198506610e+02        1.40e+03 
   137     3.425e+01       -1.19715e+02     1.39081e+03      -1.198352929e+02        -1.198505042e+02        1.41e+03 
   138     3.450e+01       -1.19666e+02     1.38747e+03      -1.198505871e+02        -1.198505051e+02        1.42e+03 
   139     3.475e+01       -1.19738e+02     1.39244e+03      -1.198493376e+02        -1.198504934e+02        1.43e+03 
   140     3.500e+01       -1.19712e+02     1.39063e+03      -1.198446794e+02        -1.198504358e+02        1.44e+03 
   141     3.525e+01       -1.19684e+02     1.38869e+03      -1.198484788e+02        -1.198504167e+02        1.45e+03 
   142     3.550e+01       -1.19701e+02     1.38983e+03      -1.198448323e+02        -1.198503625e+02        1.46e+03 
   143     3.575e+01       -1.19673e+02     1.38787e+03      -1.198474839e+02        -1.198503349e+02        1.47e+03 
   144     3.600e+01       -1.19686e+02     1.38882e+03      -1.198451402e+02        -1.198502855e+02        1.48e+03 
   145     3.625e+01       -1.19731e+02     1.39192e+03      -1.198506346e+02        -1.198502888e+02        1.49e+03 
   146     3.650e+01       -1.19716e+02     1.39084e+03      -1.198552981e+02        -1.198503356e+02        1.50e+03 
   147     3.675e+01       -1.19711e+02     1.39049e+03      -1.198611604e+02        -1.198504358e+02        1.51e+03 
   148     3.700e+01       -1.19715e+02     1.39063e+03      -1.198385560e+02        -1.198503268e+02        1.52e+03 
   149     3.725e+01       -1.19714e+02     1.39066e+03      -1.198507949e+02        -1.198503311e+02        1.53e+03 
   150     3.750e+01       -1.19748e+02     1.39302e+03      -1.198618506e+02        -1.198504350e+02        1.55e+03 
   151     3.775e+01       -1.19693e+02     1.38908e+03      -1.198443643e+02        -1.198503809e+02        1.56e+03 
   152     3.800e+01       -1.19680e+02     1.38820e+03      -1.198384696e+02        -1.198502757e+02        1.57e+03 
   153     3.825e+01       -1.19680e+02     1.38829e+03      -1.198348947e+02        -1.198501410e+02        1.58e+03 
   154     3.850e+01       -1.19663e+02     1.38719e+03      -1.198372109e+02        -1.198500289e+02        1.59e+03 
   155     3.875e+01       -1.19731e+02     1.39195e+03      -1.198468979e+02        -1.198500019e+02        1.60e+03 
   156     3.900e+01       -1.19719e+02     1.39113e+03      -1.198493814e+02        -1.198499966e+02        1.61e+03 
   157     3.925e+01       -1.19719e+02     1.39110e+03      -1.198600561e+02        -1.198500819e+02        1.62e+03 
   158     3.950e+01       -1.19735e+02     1.39212e+03      -1.198580118e+02        -1.198501486e+02        1.63e+03 
   159     3.975e+01       -1.19719e+02     1.39095e+03      -1.198491875e+02        -1.198501405e+02        1.64e+03 
   160     4.000e+01       -1.19727e+02     1.39152e+03      -1.198451265e+02        -1.198500991e+02        1.65e+03 
   161     4.025e+01       -1.19696e+02     1.38939e+03      -1.198474583e+02        -1.198500775e+02        1.66e+03 
   162     4.050e+01       -1.19680e+02     1.38826e+03      -1.198255954e+02        -1.198498788e+02        1.67e+03 
   163     4.075e+01       -1.19705e+02     1.39016e+03      -1.198461999e+02        -1.198498492e+02        1.68e+03 
   164     4.100e+01       -1.19698e+02     1.38971e+03      -1.198416575e+02        -1.198497837e+02        1.69e+03 
   165     4.125e+01       -1.19682e+02     1.38856e+03      -1.198495507e+02        -1.198497818e+02        1.70e+03 
   166     4.150e+01       -1.19704e+02     1.39009e+03      -1.198510798e+02        -1.198497921e+02        1.71e+03 
   167     4.175e+01       -1.19672e+02     1.38782e+03      -1.198582130e+02        -1.198498577e+02        1.72e+03 
   168     4.200e+01       -1.19699e+02     1.38965e+03      -1.198445940e+02        -1.198498169e+02        1.73e+03 
   169     4.225e+01       -1.19698e+02     1.38961e+03      -1.198470731e+02        -1.198497958e+02        1.74e+03 
   170     4.250e+01       -1.19684e+02     1.38860e+03      -1.198426420e+02        -1.198497413e+02        1.75e+03 
   171     4.275e+01       -1.19704e+02     1.39005e+03      -1.198638545e+02        -1.198498482e+02        1.76e+03 
   172     4.300e+01       -1.19663e+02     1.38710e+03      -1.198551760e+02        -1.198498881e+02        1.77e+03 
   173     4.325e+01       -1.19705e+02     1.38993e+03      -1.198513083e+02        -1.198498987e+02        1.78e+03 
   174     4.350e+01       -1.19661e+02     1.38687e+03      -1.198380473e+02        -1.198498112e+02        1.79e+03 
   175     4.375e+01       -1.19717e+02     1.39081e+03      -1.198574956e+02        -1.198498677e+02        1.80e+03 
   176     4.400e+01       -1.19722e+02     1.39110e+03      -1.198444015e+02        -1.198498278e+02        1.81e+03 
   177     4.425e+01       -1.19720e+02     1.39104e+03      -1.198441217e+02        -1.198497864e+02        1.82e+03 
   178     4.450e+01       -1.19724e+02     1.39134e+03      -1.198545062e+02        -1.198498204e+02        1.83e+03 
   179     4.475e+01       -1.19747e+02     1.39286e+03      -1.198498615e+02        -1.198498207e+02        1.84e+03 
   180     4.500e+01       -1.19725e+02     1.39135e+03      -1.198464544e+02        -1.198497968e+02        1.85e+03 
   181     4.525e+01       -1.19695e+02     1.38931e+03      -1.198489383e+02        -1.198497908e+02        1.86e+03 
