User:
anma2640
Hostname:
bhpc-c7-u7-2.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Thu Jan 13 14:08:53 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Thu Jan 13 13:55:52 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol",
        "numAct": "10"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918800",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "25",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "400"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Rankwise number of excitations     1    24   417  2578  7520 10364  7442  2512   411    24
Number of determinants 31294

Initial state energy:  (-5.180537,0)
Number of Cholesky vectors: 260
Using truncated Cholesky with 130 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.1822578,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
    94     2.350e+01       -6.05959e+00     9.39152e+02      -5.203926987e+00        -5.209466860e+00        3.37e+04 
    95     2.375e+01       -4.28203e+00     8.59301e+02      -5.209093652e+00        -5.209460512e+00        3.40e+04 
    96     2.400e+01       -6.03985e+00     9.38237e+02      -5.216143310e+00        -5.209582372e+00        3.43e+04 
    97     2.425e+01       -5.96664e+00     9.34769e+02      -5.217315499e+00        -5.209720357e+00        3.46e+04 
    98     2.450e+01       -6.67007e+00     9.68189e+02      -5.220830207e+00        -5.209921955e+00        3.49e+04 
    99     2.475e+01       -5.20145e+00     8.99590e+02      -5.221694018e+00        -5.210117144e+00        3.53e+04 
   100     2.500e+01       -7.14363e+00     9.91276e+02      -5.218116857e+00        -5.210260681e+00        3.56e+04 
   101     2.525e+01       -5.88354e+00     9.30718e+02      -5.220302507e+00        -5.210427049e+00        3.59e+04 
   102     2.550e+01       -5.73622e+00     9.23850e+02      -5.219463566e+00        -5.210573252e+00        3.63e+04 
   103     2.575e+01       -6.22702e+00     9.46772e+02      -5.221095179e+00        -5.210744867e+00        3.66e+04 
   104     2.600e+01       -4.48693e+00     8.67848e+02      -5.215664507e+00        -5.210817335e+00        3.69e+04 
   105     2.625e+01       -4.79201e+00     8.81183e+02      -5.213656382e+00        -5.210859172e+00        3.73e+04 
   106     2.650e+01       -8.73108e+00     1.07301e+03      -5.210874694e+00        -5.210859445e+00        3.76e+04 
   107     2.675e+01       -6.53349e+00     9.61373e+02      -5.208011025e+00        -5.210815157e+00        3.79e+04 
   108     2.700e+01       -5.28637e+00     9.03284e+02      -5.206162122e+00        -5.210748160e+00        3.82e+04 
   109     2.725e+01       -5.69770e+00     9.22087e+02      -5.210626550e+00        -5.210746399e+00        3.85e+04 
   110     2.750e+01       -4.39703e+00     8.64039e+02      -5.206775099e+00        -5.210693217e+00        3.88e+04 
   111     2.775e+01       -4.40703e+00     8.64496e+02      -5.211768284e+00        -5.210707431e+00        3.92e+04 
   112     2.800e+01       -4.45445e+00     8.66549e+02      -5.213271599e+00        -5.210740969e+00        3.95e+04 
   113     2.825e+01       -7.11551e+00     9.89861e+02      -5.218338727e+00        -5.210852815e+00        3.98e+04 
   114     2.850e+01       -2.75552e+00     7.95948e+02      -5.206188751e+00        -5.210798252e+00        4.01e+04 
   115     2.875e+01       -4.80416e+00     8.81830e+02      -5.216005456e+00        -5.210864879e+00        4.04e+04 
   116     2.900e+01       -6.51450e+00     9.60541e+02      -5.215262057e+00        -5.210925320e+00        4.07e+04 
   117     2.925e+01       -7.46472e+00     1.00726e+03      -5.219484668e+00        -5.211046943e+00        4.11e+04 
   118     2.950e+01       -4.76827e+00     8.80190e+02      -5.218784300e+00        -5.211141838e+00        4.14e+04 
   119     2.975e+01       -6.25975e+00     9.48313e+02      -5.217629184e+00        -5.211226442e+00        4.17e+04 
   120     3.000e+01       -4.30671e+00     8.60070e+02      -5.220986191e+00        -5.211340529e+00        4.20e+04 
   121     3.025e+01       -5.16203e+00     8.97620e+02      -5.213018403e+00        -5.211360752e+00        4.23e+04 
   122     3.050e+01       -4.34315e+00     8.61619e+02      -5.218797723e+00        -5.211445810e+00        4.27e+04 
   123     3.075e+01       -4.98732e+00     8.89804e+02      -5.216028418e+00        -5.211499305e+00        4.30e+04 
   124     3.100e+01       -6.07608e+00     9.39582e+02      -5.217565568e+00        -5.211573170e+00        4.33e+04 
   125     3.125e+01       -6.66356e+00     9.67579e+02      -5.217290167e+00        -5.211643969e+00        4.36e+04 
   126     3.150e+01       -4.39900e+00     8.63989e+02      -5.207460151e+00        -5.211598210e+00        4.39e+04 
   127     3.175e+01       -5.29805e+00     9.03751e+02      -5.204306170e+00        -5.211515729e+00        4.43e+04 
   128     3.200e+01       -4.75829e+00     8.79734e+02      -5.202152844e+00        -5.211413762e+00        4.46e+04 
   129     3.225e+01       -4.56857e+00     8.71479e+02      -5.204988996e+00        -5.211345189e+00        4.49e+04 
   130     3.250e+01       -4.76170e+00     8.79968e+02      -5.211790856e+00        -5.211349941e+00        4.52e+04 
   131     3.275e+01       -7.86144e+00     1.02749e+03      -5.216255552e+00        -5.211410263e+00        4.55e+04 
   132     3.300e+01       -5.13369e+00     8.96469e+02      -5.217324348e+00        -5.211473040e+00        4.59e+04 
   133     3.325e+01       -7.72334e+00     1.02037e+03      -5.183149556e+00        -5.211134925e+00        4.62e+04 
   134     3.350e+01       -2.92076e+00     8.02668e+02      -5.203672221e+00        -5.211065498e+00        4.65e+04 
   135     3.375e+01       -6.57758e+00     9.63731e+02      -5.215314906e+00        -5.211112439e+00        4.68e+04 
   136     3.400e+01       -6.04642e+00     9.38445e+02      -5.228516312e+00        -5.211297658e+00        4.71e+04 
   137     3.425e+01       -5.69742e+00     9.22125e+02      -5.223675622e+00        -5.211425758e+00        4.74e+04 
   138     3.450e+01       -5.35767e+00     9.06538e+02      -5.222695165e+00        -5.211539260e+00        4.78e+04 
   139     3.475e+01       -4.82479e+00     8.82660e+02      -5.228481053e+00        -5.211703784e+00        4.81e+04 
   140     3.500e+01       -4.91171e+00     8.86440e+02      -5.226815214e+00        -5.211849738e+00        4.84e+04 
   141     3.525e+01       -5.57823e+00     9.16427e+02      -5.221429991e+00        -5.211944454e+00        4.87e+04 
   142     3.550e+01       -6.26512e+00     9.48424e+02      -5.219478237e+00        -5.212020757e+00        4.91e+04 
   143     3.575e+01       -4.51369e+00     8.68891e+02      -5.214116610e+00        -5.212040025e+00        4.94e+04 
   144     3.600e+01       -6.08466e+00     9.39908e+02      -5.195039832e+00        -5.211872625e+00        4.97e+04 
