User:
anma2640
Hostname:
bhpc-c7-u7-15.rc.int.colorado.edu
CPU info:
Architecture:          x86_64
CPU op-mode(s):        32-bit, 64-bit
Byte Order:            Little Endian
CPU(s):                36
On-line CPU(s) list:   0-35
Thread(s) per core:    1
Core(s) per socket:    18
Socket(s):             2
NUMA node(s):          2
Vendor ID:             GenuineIntel
CPU family:            6
Model:                 85
Model name:            Intel(R) Xeon(R) Gold 6150 CPU @ 2.70GHz
Stepping:              4
CPU MHz:               2700.000
Computation started at:
Sun Jan 23 20:27:14 MST 2022
git commit: 907a9246ad6cc900389a686f74cb0f6d9b5ba2c5, branch: dqmc, compiled at: Fri Jan 14 23:55:05 MST 2022

nproc used: 36 (NB: stochasticIter below is per proc)

**************************************************************
Input file  :
**************************************************************
{
    "system": {
        "integrals": "FCIDUMP_chol"
    },
    "wavefunction": {
        "right": "rhf",
        "left": "uhf",
        "lef": "multislater",
        "determinants": "dets_0.bin",
        "ndets": "50000"
    },
    "sampling": {
        "seed": "918",
        "phaseless": "true",
        "dt": "0.005000",
        "nsteps": "50",
        "nwalk": "50",
        "choleskyThreshold": "2.0e-3",
        "orthoSteps": "20",
        "stochasticIter": "500"
    }
}

Number of orbitals:  50, nalpha:  5, nbeta:  5
Initial state energy:  (-5.3147713,0)
Number of Cholesky vectors: 249
Using truncated Cholesky with 124 vectors for energy calculations
Initial state energy with truncated Cholesky:  (-5.3156867,0)

Using ROHF RDM for background subtraction

  block     propTime         eshift            weight             energy          cumulative_energy          walltime
   130     3.250e+01       -5.40380e+00     1.79351e+03      -5.478669212e+00        -5.477603021e+00        2.15e+02 
   131     3.275e+01       -5.39369e+00     1.79258e+03      -5.474374139e+00        -5.477567934e+00        2.17e+02 
   132     3.300e+01       -5.40095e+00     1.79325e+03      -5.475758802e+00        -5.477548479e+00        2.18e+02 
   133     3.325e+01       -5.39498e+00     1.79271e+03      -5.477717423e+00        -5.477550276e+00        2.20e+02 
   134     3.350e+01       -5.40016e+00     1.79316e+03      -5.476724018e+00        -5.477541578e+00        2.22e+02 
   135     3.375e+01       -5.39725e+00     1.79290e+03      -5.477659000e+00        -5.477542801e+00        2.23e+02 
   136     3.400e+01       -5.39224e+00     1.79244e+03      -5.475894801e+00        -5.477525817e+00        2.25e+02 
   137     3.425e+01       -5.40176e+00     1.79330e+03      -5.477177707e+00        -5.477522265e+00        2.27e+02 
   138     3.450e+01       -5.39467e+00     1.79265e+03      -5.478315038e+00        -5.477530271e+00        2.28e+02 
   139     3.475e+01       -5.39415e+00     1.79259e+03      -5.477368162e+00        -5.477528650e+00        2.30e+02 
   140     3.500e+01       -5.40354e+00     1.79342e+03      -5.476951322e+00        -5.477522933e+00        2.32e+02 
   141     3.525e+01       -5.38668e+00     1.79191e+03      -5.475864209e+00        -5.477506681e+00        2.33e+02 
   142     3.550e+01       -5.41014e+00     1.79402e+03      -5.476367630e+00        -5.477495617e+00        2.35e+02 
   143     3.575e+01       -5.39258e+00     1.79245e+03      -5.476093866e+00        -5.477482143e+00        2.37e+02 
   144     3.600e+01       -5.39137e+00     1.79235e+03      -5.476559732e+00        -5.477473361e+00        2.38e+02 
   145     3.625e+01       -5.39766e+00     1.79291e+03      -5.475556856e+00        -5.477455283e+00        2.40e+02 
   146     3.650e+01       -5.40411e+00     1.79350e+03      -5.472526429e+00        -5.477409207e+00        2.41e+02 
   147     3.675e+01       -5.38777e+00     1.79207e+03      -5.471968189e+00        -5.477358855e+00        2.43e+02 
   148     3.700e+01       -5.39245e+00     1.79253e+03      -5.471723232e+00        -5.477307166e+00        2.45e+02 
   149     3.725e+01       -5.39681e+00     1.79295e+03      -5.474371184e+00        -5.477280477e+00        2.46e+02 
   150     3.750e+01       -5.40199e+00     1.79342e+03      -5.474993095e+00        -5.477259866e+00        2.48e+02 
   151     3.775e+01       -5.39827e+00     1.79309e+03      -5.474588111e+00        -5.477236010e+00        2.50e+02 
   152     3.800e+01       -5.39266e+00     1.79259e+03      -5.471617059e+00        -5.477186297e+00        2.51e+02 
   153     3.825e+01       -5.39372e+00     1.79272e+03      -5.473088386e+00        -5.477150357e+00        2.53e+02 
   154     3.850e+01       -5.39246e+00     1.79262e+03      -5.472286308e+00        -5.477108070e+00        2.54e+02 
   155     3.875e+01       -5.38399e+00     1.79188e+03      -5.473374278e+00        -5.477075903e+00        2.56e+02 
   156     3.900e+01       -5.39606e+00     1.79298e+03      -5.472979948e+00        -5.477040896e+00        2.58e+02 
   157     3.925e+01       -5.39317e+00     1.79273e+03      -5.474509151e+00        -5.477019444e+00        2.60e+02 
   158     3.950e+01       -5.38242e+00     1.79176e+03      -5.473619467e+00        -5.476990892e+00        2.61e+02 
   159     3.975e+01       -5.39001e+00     1.79245e+03      -5.475231082e+00        -5.476976232e+00        2.63e+02 
   160     4.000e+01       -5.40159e+00     1.79347e+03      -5.477318494e+00        -5.476979061e+00        2.65e+02 
   161     4.025e+01       -5.39580e+00     1.79293e+03      -5.476098924e+00        -5.476971847e+00        2.66e+02 
   162     4.050e+01       -5.40044e+00     1.79333e+03      -5.477294361e+00        -5.476974470e+00        2.68e+02 
   163     4.075e+01       -5.38474e+00     1.79190e+03      -5.475613804e+00        -5.476963503e+00        2.69e+02 
   164     4.100e+01       -5.40771e+00     1.79395e+03      -5.477352692e+00        -5.476966619e+00        2.71e+02 
   165     4.125e+01       -5.40142e+00     1.79337e+03      -5.475518502e+00        -5.476955123e+00        2.73e+02 
   166     4.150e+01       -5.39669e+00     1.79294e+03      -5.477080982e+00        -5.476956114e+00        2.74e+02 
   167     4.175e+01       -5.40871e+00     1.79400e+03      -5.477405335e+00        -5.476959626e+00        2.76e+02 
   168     4.200e+01       -5.39467e+00     1.79273e+03      -5.480910975e+00        -5.476990251e+00        2.78e+02 
   169     4.225e+01       -5.39748e+00     1.79293e+03      -5.480895466e+00        -5.477020290e+00        2.79e+02 
   170     4.250e+01       -5.40324e+00     1.79341e+03      -5.478612400e+00        -5.477032446e+00        2.81e+02 
   171     4.275e+01       -5.39918e+00     1.79302e+03      -5.478073984e+00        -5.477040337e+00        2.82e+02 
   172     4.300e+01       -5.40335e+00     1.79339e+03      -5.478827665e+00        -5.477053778e+00        2.84e+02 
   173     4.325e+01       -5.39988e+00     1.79306e+03      -5.480383515e+00        -5.477078627e+00        2.86e+02 
   174     4.350e+01       -5.40039e+00     1.79308e+03      -5.480318545e+00        -5.477102627e+00        2.87e+02 
   175     4.375e+01       -5.39957e+00     1.79298e+03      -5.478623075e+00        -5.477113807e+00        2.89e+02 
   176     4.400e+01       -5.39704e+00     1.79274e+03      -5.478389754e+00        -5.477123119e+00        2.91e+02 
   177     4.425e+01       -5.40175e+00     1.79316e+03      -5.478559733e+00        -5.477133530e+00        2.93e+02 
   178     4.450e+01       -5.40184e+00     1.79316e+03      -5.477500914e+00        -5.477136173e+00        2.94e+02 
   179     4.475e+01       -5.39723e+00     1.79275e+03      -5.473558746e+00        -5.477110624e+00        2.96e+02 
   180     4.500e+01       -5.40276e+00     1.79329e+03      -5.474863965e+00        -5.477094688e+00        2.97e+02 
   181     4.525e+01       -5.39905e+00     1.79298e+03      -5.475288236e+00        -5.477081967e+00        2.99e+02 
   182     4.550e+01       -5.40851e+00     1.79384e+03      -5.476071261e+00        -5.477074896e+00        3.01e+02 
   183     4.575e+01       -5.40661e+00     1.79368e+03      -5.480531133e+00        -5.477098906e+00        3.02e+02 
   184     4.600e+01       -5.40931e+00     1.79389e+03      -5.478166397e+00        -5.477106271e+00        3.04e+02 
   185     4.625e+01       -5.41114e+00     1.79405e+03      -5.476474027e+00        -5.477101939e+00        3.05e+02 
   186     4.650e+01       -5.39328e+00     1.79246e+03      -5.475822464e+00        -5.477093238e+00        3.07e+02 
   187     4.675e+01       -5.42014e+00     1.79488e+03      -5.478042146e+00        -5.477099656e+00        3.09e+02 
   188     4.700e+01       -5.40220e+00     1.79326e+03      -5.478806576e+00        -5.477111113e+00        3.10e+02 
   189     4.725e+01       -5.40568e+00     1.79356e+03      -5.481624590e+00        -5.477141211e+00        3.12e+02 
